"K","theta","p","psi","nSamples","Index"
8,0.06,0.3,1,100,499
16,0.06,0.3,1,100,500
2,0.24,0.3,1,100,501
4,0.24,0.3,1,100,502
8,0.24,0.3,1,100,503
16,0.24,0.3,1,100,504
2,0.42,0.3,1,100,505
4,0.42,0.3,1,100,506
8,0.42,0.3,1,100,507
16,0.42,0.3,1,100,508
2,0.76,0.3,1,100,509
4,0.76,0.3,1,100,510
8,0.76,0.3,1,100,511
16,0.76,0.3,1,100,512
2,0.06,0.35,1,100,513
4,0.06,0.35,1,100,514
8,0.06,0.35,1,100,515
16,0.06,0.35,1,100,516
2,0.24,0.35,1,100,517
4,0.24,0.35,1,100,518
8,0.24,0.35,1,100,519
16,0.24,0.35,1,100,520
2,0.42,0.35,1,100,521
4,0.42,0.35,1,100,522
8,0.42,0.35,1,100,523
16,0.42,0.35,1,100,524
2,0.76,0.35,1,100,525
4,0.76,0.35,1,100,526
8,0.76,0.35,1,100,527
16,0.76,0.35,1,100,528
2,0.06,0.4,1,100,529
4,0.06,0.4,1,100,530
8,0.06,0.4,1,100,531
16,0.06,0.4,1,100,532
2,0.24,0.4,1,100,533
4,0.24,0.4,1,100,534
8,0.24,0.4,1,100,535
16,0.24,0.4,1,100,536
2,0.42,0.4,1,100,537
4,0.42,0.4,1,100,538
8,0.42,0.4,1,100,539
16,0.42,0.4,1,100,540
2,0.76,0.4,1,100,541
4,0.76,0.4,1,100,542
8,0.76,0.4,1,100,543
16,0.76,0.4,1,100,544
2,0.06,0.75,1,100,545
4,0.06,0.75,1,100,546
8,0.06,0.75,1,100,547
16,0.06,0.75,1,100,548
2,0.24,0.75,1,100,549
4,0.24,0.75,1,100,550
8,0.24,0.75,1,100,551
16,0.24,0.75,1,100,552
2,0.42,0.75,1,100,553
4,0.42,0.75,1,100,554
8,0.42,0.75,1,100,555
16,0.42,0.75,1,100,556
2,0.76,0.75,1,100,557
4,0.76,0.75,1,100,558
8,0.76,0.75,1,100,559
16,0.76,0.75,1,100,560
2,0.06,0.15,1,125,561
4,0.06,0.15,1,125,562
8,0.06,0.15,1,125,563
16,0.06,0.15,1,125,564
2,0.24,0.15,1,125,565
4,0.24,0.15,1,125,566
8,0.24,0.15,1,125,567
16,0.24,0.15,1,125,568
2,0.42,0.15,1,125,569
4,0.42,0.15,1,125,570
8,0.42,0.15,1,125,571
16,0.42,0.15,1,125,572
2,0.76,0.15,1,125,573
4,0.76,0.15,1,125,574
8,0.76,0.15,1,125,575
16,0.76,0.15,1,125,576
2,0.06,0.3,1,125,577
4,0.06,0.3,1,125,578
8,0.06,0.3,1,125,579
16,0.06,0.3,1,125,580
2,0.24,0.3,1,125,581
4,0.24,0.3,1,125,582
8,0.24,0.3,1,125,583
16,0.24,0.3,1,125,584
